condition,i,j,cosine
sparse,10,19,0.9059202671051025
sparse,10,20,0.8956724405288696
sparse,10,21,0.9240868091583252
sparse,10,22,0.9141538143157959
sparse,10,23,0.9095520973205566
sparse,10,24,0.0888502448797226
sparse,10,25,0.8820087909698486
sparse,10,26,0.9177756309509277
sparse,10,27,0.890063464641571
sparse,10,28,0.9063705205917358
sparse,10,29,0.8650474548339844
sparse,11,12,0.11026038229465485
sparse,11,13,0.0411575585603714
sparse,11,14,0.10040321201086044
sparse,11,15,0.0689639151096344
sparse,11,16,0.10801630467176437
sparse,11,17,0.08226725459098816
sparse,11,18,0.08057644963264465
sparse,11,19,0.04744820296764374
sparse,11,20,0.09150318801403046
sparse,11,21,0.11701734364032745
sparse,11,22,0.11943024396896362
sparse,11,23,0.10557190328836441
sparse,11,24,1.000000238418579
sparse,11,25,0.11746442317962646
sparse,11,26,0.10101272910833359
sparse,11,27,0.11939298361539841
sparse,11,28,0.08108936250209808
sparse,11,29,0.14297153055667877
sparse,12,13,0.832703173160553
sparse,12,14,0.8618160486221313
sparse,12,15,0.9351630210876465
sparse,12,16,0.911324143409729
sparse,12,17,0.9170980453491211
sparse,12,18,0.665291428565979
sparse,12,19,0.9281107187271118
sparse,12,20,0.8742146492004395
sparse,12,21,0.9110912084579468
sparse,12,22,0.9337109327316284
sparse,12,23,0.8747269511222839
sparse,12,24,0.11026038229465485
sparse,12,25,0.9421282410621643
sparse,12,26,0.8873839974403381
sparse,12,27,0.9607949256896973
sparse,12,28,0.9125003218650818
sparse,12,29,0.9039621353149414
sparse,13,14,0.7713571786880493
sparse,13,15,0.8430774211883545
sparse,13,16,0.8640232086181641
sparse,13,17,0.8972780704498291
sparse,13,18,0.60213303565979
sparse,13,19,0.8517622947692871
sparse,13,20,0.8299106359481812
sparse,13,21,0.8581175208091736
sparse,13,22,0.8484482765197754
sparse,13,23,0.8654480576515198
sparse,13,24,0.0411575585603714
sparse,13,25,0.8424533605575562
sparse,13,26,0.8663557171821594
sparse,13,27,0.8484017848968506
sparse,13,28,0.860560953617096
sparse,13,29,0.7843785285949707
sparse,14,15,0.8563509583473206
sparse,14,16,0.8789606094360352
sparse,14,17,0.8524015545845032
sparse,14,18,0.6586474776268005
sparse,14,19,0.8423929214477539
sparse,14,20,0.8463461399078369
sparse,14,21,0.8314278721809387
sparse,14,22,0.8472363948822021
sparse,14,23,0.8180808424949646
sparse,14,24,0.10040321201086044
sparse,14,25,0.8383336067199707
sparse,14,26,0.8001997470855713
sparse,14,27,0.8574920892715454
sparse,14,28,0.8250898718833923
sparse,14,29,0.8401265144348145
sparse,15,16,0.9088408946990967
sparse,15,17,0.9333357810974121
sparse,15,18,0.6195177435874939
sparse,15,19,0.9468967914581299
sparse,15,20,0.8545538187026978
sparse,15,21,0.8843954801559448
sparse,15,22,0.8941930532455444
sparse,15,23,0.8877065181732178
sparse,15,24,0.0689639151096344
sparse,15,25,0.9201680421829224
sparse,15,26,0.8790658116340637
sparse,15,27,0.9405113458633423
sparse,15,28,0.9131321907043457
sparse,15,29,0.8944070339202881
sparse,16,17,0.9254595637321472
sparse,16,18,0.6261307001113892
sparse,16,19,0.9052155017852783
sparse,16,20,0.9138201475143433
sparse,16,21,0.9385248422622681
sparse,16,22,0.9389156103134155
sparse,16,23,0.9162462949752808
sparse,16,24,0.10801630467176437
sparse,16,25,0.9173367023468018
sparse,16,26,0.9003571271896362
sparse,16,27,0.9165087938308716
sparse,16,28,0.9278928637504578
sparse,16,29,0.8938648700714111
sparse,17,18,0.6399070024490356
sparse,17,19,0.9339615106582642
sparse,17,20,0.8935016393661499
sparse,17,21,0.9089746475219727
sparse,17,22,0.9169865846633911
sparse,17,23,0.910098671913147
sparse,17,24,0.08226725459098816
sparse,17,25,0.914438009262085
sparse,17,26,0.9024463295936584
sparse,17,27,0.9179341793060303
sparse,17,28,0.9073847532272339
sparse,17,29,0.8849005103111267
sparse,18,19,0.6413606405258179
sparse,18,20,0.6222060322761536
sparse,18,21,0.6384403705596924
sparse,18,22,0.6476011276245117
sparse,18,23,0.6100177764892578
sparse,18,24,0.08057644963264465
sparse,18,25,0.6626882553100586
sparse,18,26,0.6258887052536011
sparse,18,27,0.6552211046218872
sparse,18,28,0.623540997505188
sparse,18,29,0.6345103979110718
sparse,19,20,0.8846614360809326
sparse,19,21,0.9076542854309082
sparse,19,22,0.9070615768432617
sparse,19,23,0.8959471583366394
sparse,19,24,0.04744820296764374
sparse,19,25,0.9195594787597656
sparse,19,26,0.8910269737243652
sparse,19,27,0.9174454212188721
